0.01	12.	12.	5.
0.01	12.	12.	7.
0.01	12.	12.	10.
0.01	12.	12.	12.
0.01	12.	12.	15.
0.01	12.	22.	5.
0.01	12.	22.	7.
0.01	12.	22.	10.
0.01	12.	22.	12.
0.01	12.	22.	15.
0.01	12.	32.	5.
0.01	12.	32.	7.
0.01	12.	32.	10.
0.01	12.	32.	12.
0.01	12.	32.	15.
0.01	12.	42.	5.
0.01	12.	42.	7.
0.01	12.	42.	10.
0.01	12.	42.	12.
0.01	12.	42.	15.
0.01	15.	12.	5.
0.01	15.	12.	7.
0.01	15.	12.	10.
0.01	15.	12.	12.
0.01	15.	12.	15.
0.01	15.	22.	5.
0.01	15.	22.	7.
0.01	15.	22.	10.
0.01	15.	22.	12.
0.01	15.	22.	15.
0.01	15.	32.	5.
0.01	15.	32.	7.
0.01	15.	32.	10.
0.01	15.	32.	12.
0.01	15.	32.	15.
0.01	15.	42.	5.
0.01	15.	42.	7.
0.01	15.	42.	10.
0.01	15.	42.	12.
0.01	15.	42.	15.
