0.01	5.	10.	5.
0.01	5.	10.	7.
0.01	5.	10.	9.
0.01	5.	15.	5.
0.01	5.	15.	7.
0.01	5.	15.	9.
0.01	5.	20.	5.
0.01	5.	20.	7.
0.01	5.	20.	9.
0.01	10.	10.	5.
0.01	10.	10.	7.
0.01	10.	10.	9.
0.01	10.	15.	5.
0.01	10.	15.	7.
0.01	10.	15.	9.
0.01	10.	20.	5.
0.01	10.	20.	7.
0.01	10.	20.	9.
0.01	15.	10.	5.
0.01	15.	10.	7.
0.01	15.	10.	9.
0.01	15.	15.	5.
0.01	15.	15.	7.
0.01	15.	15.	9.
0.01	15.	20.	5.
0.01	15.	20.	7.
0.01	15.	20.	9.
0.03	5.	10.	5.
0.03	5.	10.	7.
0.03	5.	10.	9.
0.03	5.	15.	5.
0.03	5.	15.	7.
0.03	5.	15.	9.
0.03	5.	20.	5.
0.03	5.	20.	7.
0.03	5.	20.	9.
0.03	10.	10.	5.
0.03	10.	10.	7.
0.03	10.	10.	9.
0.03	10.	15.	5.
0.03	10.	15.	7.
0.03	10.	15.	9.
0.03	10.	20.	5.
0.03	10.	20.	7.
0.03	10.	20.	9.
0.03	15.	10.	5.
0.03	15.	10.	7.
0.03	15.	10.	9.
0.03	15.	15.	5.
0.03	15.	15.	7.
0.03	15.	15.	9.
0.03	15.	20.	5.
0.03	15.	20.	7.
0.03	15.	20.	9.
0.05	5.	10.	5.
0.05	5.	10.	7.
0.05	5.	10.	9.
0.05	5.	15.	5.
0.05	5.	15.	7.
0.05	5.	15.	9.
0.05	5.	20.	5.
0.05	5.	20.	7.
0.05	5.	20.	9.
0.05	10.	10.	5.
0.05	10.	10.	7.
0.05	10.	10.	9.
0.05	10.	15.	5.
0.05	10.	15.	7.
0.05	10.	15.	9.
0.05	10.	20.	5.
0.05	10.	20.	7.
0.05	10.	20.	9.
0.05	15.	10.	5.
0.05	15.	10.	7.
0.05	15.	10.	9.
0.05	15.	15.	5.
0.05	15.	15.	7.
0.05	15.	15.	9.
0.05	15.	20.	5.
0.05	15.	20.	7.
0.05	15.	20.	9.
