0.005 14 14 6 60 0 2000 2500 0.004 -20 2
0.005 15 15 6 60 0 2000 2500 0.004 -20 2
0.005 14 14 6 60 0 2000 2000 0.004 -20 2
0.005 15 15 6 60 0 2000 2000 0.004 -20 2
0.005 14 14 6 60 0 2000 3000 0.004 -20 2
0.005 15 15 6 60 0 2000 3000 0.004 -20 2
0.005 14 14 6 60 0 2000 3500 0.004 -20 2
0.005 15 15 6 60 0 2000 3500 0.004 -20 2
0.005 14 14 6 60 0 2500 2500 0.004 -20 2
0.005 15 15 6 60 0 2500 2500 0.004 -20 2
0.005 14 14 6 60 0 2500 2000 0.004 -20 2
0.005 15 15 6 60 0 2500 2000 0.004 -20 2
0.005 14 14 6 60 0 2500 3000 0.004 -20 2
0.005 15 15 6 60 0 2500 3000 0.004 -20 2
0.005 14 14 6 60 0 2500 3500 0.004 -20 2
0.005 15 15 6 60 0 2500 3500 0.004 -20 2
0.005 14 14 6 60 0 3000 2500 0.004 -20 2
0.005 15 15 6 60 0 3000 2500 0.004 -20 2
0.005 14 14 6 60 0 3000 2000 0.004 -20 2
0.005 15 15 6 60 0 3000 2000 0.004 -20 2
0.005 14 14 6 60 0 3000 3000 0.004 -20 2
0.005 15 15 6 60 0 3000 3000 0.004 -20 2
0.005 14 14 6 60 0 3000 3500 0.004 -20 2
0.005 15 15 6 60 0 3000 3500 0.004 -20 2
0.005 14 14 6 60 0 3500 2500 0.004 -20 2
0.005 15 15 6 60 0 3500 2500 0.004 -20 2
0.005 14 14 6 60 0 3500 2000 0.004 -20 2
0.005 15 15 6 60 0 3500 2000 0.004 -20 2
0.005 14 14 6 60 0 3500 3000 0.004 -20 2
0.005 15 15 6 60 0 3500 3000 0.004 -20 2
0.005 14 14 6 60 0 3500 3500 0.004 -20 2
0.005 15 15 6 60 0 3500 3500 0.004 -20 2
