den=0.005_i1=12._i2=12._i3=4._i4=60._m1=4000_m2=4000_rate=0.001_ae=-20._ie=2. 74.822 1.4
den=0.005_i1=12._i2=12._i3=6._i4=60._m1=4000_m2=4000_rate=0.001_ae=-20._ie=2. 74.822 1.4
den=0.005_i1=13._i2=13._i3=4._i4=60._m1=4000_m2=4000_rate=0.001_ae=-20._ie=2. 74.822 1.4
den=0.005_i1=13._i2=13._i3=6._i4=60._m1=4000_m2=4000_rate=0.001_ae=-20._ie=2. 74.822 1.4
den=0.005_i1=14._i2=14._i3=4._i4=60._m1=4000_m2=4000_rate=0.001_ae=-20._ie=2. 74.822 1.4
den=0.005_i1=14._i2=14._i3=6._i4=60._m1=4000_m2=4000_rate=0.001_ae=-20._ie=2. 74.822 1.4
den=0.005_i1=15._i2=15._i3=4._i4=60._m1=4000_m2=4000_rate=0.001_ae=-20._ie=2. 74.822 1.4
den=0.005_i1=15._i2=15._i3=6._i4=60._m1=4000_m2=4000_rate=0.001_ae=-20._ie=2. 74.822 1.4
den=0.005_i1=12._i2=12._i3=4._i4=60._m1=4000_m2=8000_rate=0.001_ae=-20._ie=2. 74.822 1.4
den=0.005_i1=12._i2=12._i3=6._i4=60._m1=4000_m2=8000_rate=0.001_ae=-20._ie=2. 74.822 1.4
den=0.005_i1=13._i2=13._i3=4._i4=60._m1=4000_m2=8000_rate=0.001_ae=-20._ie=2. 74.822 1.4
den=0.005_i1=13._i2=13._i3=6._i4=60._m1=4000_m2=8000_rate=0.001_ae=-20._ie=2. 74.822 1.4
den=0.005_i1=14._i2=14._i3=4._i4=60._m1=4000_m2=8000_rate=0.001_ae=-20._ie=2. 74.822 1.4
den=0.005_i1=14._i2=14._i3=6._i4=60._m1=4000_m2=8000_rate=0.001_ae=-20._ie=2. 74.822 1.4
den=0.005_i1=15._i2=15._i3=4._i4=60._m1=4000_m2=8000_rate=0.001_ae=-20._ie=2. 74.822 1.4
den=0.005_i1=15._i2=15._i3=6._i4=60._m1=4000_m2=8000_rate=0.001_ae=-20._ie=2. 74.822 1.4
den=0.005_i1=12._i2=12._i3=4._i4=60._m1=4000_m2=12000_rate=0.001_ae=-20._ie=2. 74.822 1.4
den=0.005_i1=12._i2=12._i3=6._i4=60._m1=4000_m2=12000_rate=0.001_ae=-20._ie=2. 74.822 1.4
den=0.005_i1=13._i2=13._i3=4._i4=60._m1=4000_m2=12000_rate=0.001_ae=-20._ie=2. 74.822 1.4
den=0.005_i1=13._i2=13._i3=6._i4=60._m1=4000_m2=12000_rate=0.001_ae=-20._ie=2. 74.822 1.4
den=0.005_i1=14._i2=14._i3=4._i4=60._m1=4000_m2=12000_rate=0.001_ae=-20._ie=2. 74.822 1.4
den=0.005_i1=14._i2=14._i3=6._i4=60._m1=4000_m2=12000_rate=0.001_ae=-20._ie=2. 74.822 1.4
den=0.005_i1=15._i2=15._i3=4._i4=60._m1=4000_m2=12000_rate=0.001_ae=-20._ie=2. 74.822 1.4
den=0.005_i1=15._i2=15._i3=6._i4=60._m1=4000_m2=12000_rate=0.001_ae=-20._ie=2. 74.822 1.4
