0.01	10.	10.	5.
0.01	10.	10.	7.
0.01	10.	10.	10.
0.01	10.	10.	12.
0.01	10.	10.	15.
0.01	10.	20.	5.
0.01	10.	20.	7.
0.01	10.	20.	10.
0.01	10.	20.	12.
0.01	10.	20.	15.
0.01	10.	30.	5.
0.01	10.	30.	7.
0.01	10.	30.	10.
0.01	10.	30.	12.
0.01	10.	30.	15.
0.01	10.	40.0	5.
0.01	10.	40.0	7.
0.01	10.	40.0	10.
0.01	10.	40.0	12.
0.01	10.	40.0	15.
0.01	10.	50.0	5.
0.01	10.	50.0	7.
0.01	10.	50.0	10.
0.01	10.	50.0	12.
0.01	10.	50.0	15.
0.01	15.	10.	5.
0.01	15.	10.	7.
0.01	15.	10.	10.
0.01	15.	10.	12.
0.01	15.	10.	15.
0.01	15.	20.	5.
0.01	15.	20.	7.
0.01	15.	20.	10.
0.01	15.	20.	12.
0.01	15.	20.	15.
0.01	15.	30.	5.
0.01	15.	30.	7.
0.01	15.	30.	10.
0.01	15.	30.	12.
0.01	15.	30.	15.
0.01	15.	40.0	5.
0.01	15.	40.0	7.
0.01	15.	40.0	10.
0.01	15.	40.0	12.
0.01	15.	40.0	15.
0.01	15.	50.0	5.
0.01	15.	50.0	7.
0.01	15.	50.0	10.
0.01	15.	50.0	12.
0.01	15.	50.0	15.
