0.657059,4.52119,0.987825
1.46206,4.5038,1.63258
2.1658,4.48989,2.33794
3.12403,4.49491,2.79908
1.27958,5.36426,0.973772
1.77509,6.14417,0.521448
2.53117,6.74882,0.257234
1.14093,4.77815,0.122501
1.74707,5.3144,10.444
2.38877,5.96223,9.90787
0.139384,5.37721,0.664142
10.4526,5.65421,10.9791
9.69161,6.10754,10.4064
7.02609,5.50539,3.92732
7.35742,4.5958,3.62541
7.64995,3.58356,3.66629
7.80776,2.57588,3.59503
6.20683,6.00488,3.54799
5.20642,6.24807,3.32162
4.18966,6.47381,3.27665
7.09446,5.50813,4.97106
7.18919,5.44908,5.99515
7.64585,5.56936,6.93396
6.20176,4.98092,4.24529
5.32906,4.50519,4.52173
4.52525,3.89501,4.76201
