46.9375,50,17.55
46.6528,51.0625,17.55
45.875,51.8403,17.55
44.8124,52.125,17.55
43.7499,51.8403,17.55
42.9721,51.0625,17.55
42.6874,50,17.55
42.9721,48.9375,17.55
43.7499,48.1597,17.55
44.8124,47.875,17.55
45.875,48.1597,17.55
46.6528,48.9375,17.55
46.9375,50,18.65
46.6528,51.0625,18.65
45.875,51.8403,18.65
44.8124,52.125,18.65
43.7499,51.8403,18.65
42.9721,51.0625,18.65
42.6874,50,18.65
42.9721,48.9375,18.65
43.7499,48.1597,18.65
44.8124,47.875,18.65
45.875,48.1597,18.65
46.6528,48.9375,18.65
46.9375,50,19.75
46.6528,51.0625,19.75
45.875,51.8403,19.75
44.8124,52.125,19.75
43.7499,51.8403,19.75
42.9721,51.0625,19.75
42.6874,50,19.75
42.9721,48.9375,19.75
43.7499,48.1597,19.75
44.8124,47.875,19.75
45.875,48.1597,19.75
46.6528,48.9375,19.75
46.9375,50,20.85
46.6528,51.0625,20.85
45.875,51.8403,20.85
44.8124,52.125,20.85
43.7499,51.8403,20.85
42.9721,51.0625,20.85
42.6874,50,20.85
42.9721,48.9375,20.85
43.7499,48.1597,20.85
44.8124,47.875,20.85
45.875,48.1597,20.85
46.6528,48.9375,20.85
46.9375,50,21.95
46.6528,51.0625,21.95
45.875,51.8403,21.95
44.8124,52.125,21.95
43.7499,51.8403,21.95
42.9721,51.0625,21.95
42.6874,50,21.95
42.9721,48.9375,21.95
43.7499,48.1597,21.95
44.8124,47.875,21.95
45.875,48.1597,21.95
46.6528,48.9375,21.95
46.9375,50,23.05
46.6528,51.0625,23.05
45.875,51.8403,23.05
44.8124,52.125,23.05
43.7499,51.8403,23.05
42.9721,51.0625,23.05
42.6874,50,23.05
42.9721,48.9375,23.05
43.7499,48.1597,23.05
44.8124,47.875,23.05
45.875,48.1597,23.05
46.6528,48.9375,23.05
46.9375,50,24.15
46.6528,51.0625,24.15
45.875,51.8403,24.15
44.8124,52.125,24.15
43.7499,51.8403,24.15
42.9721,51.0625,24.15
42.6874,50,24.15
42.9721,48.9375,24.15
43.7499,48.1597,24.15
44.8124,47.875,24.15
45.875,48.1597,24.15
46.6528,48.9375,24.15
46.9375,50,25.25
46.6528,51.0625,25.25
45.875,51.8403,25.25
44.8124,52.125,25.25
43.7499,51.8403,25.25
42.9721,51.0625,25.25
42.6874,50,25.25
42.9721,48.9375,25.25
43.7499,48.1597,25.25
44.8124,47.875,25.25
45.875,48.1597,25.25
46.6528,48.9375,25.25
46.9375,50,26.35
46.6528,51.0625,26.35
45.875,51.8403,26.35
44.8124,52.125,26.35
43.7499,51.8403,26.35
42.9721,51.0625,26.35
42.6874,50,26.35
42.9721,48.9375,26.35
43.7499,48.1597,26.35
44.8124,47.875,26.35
45.875,48.1597,26.35
46.6528,48.9375,26.35
46.9375,50,27.45
46.6528,51.0625,27.45
45.875,51.8403,27.45
44.8124,52.125,27.45
43.7499,51.8403,27.45
42.9721,51.0625,27.45
42.6874,50,27.45
42.9721,48.9375,27.45
43.7499,48.1597,27.45
44.8124,47.875,27.45
45.875,48.1597,27.45
46.6528,48.9375,27.45
46.9375,50,28.55
46.6528,51.0625,28.55
45.875,51.8403,28.55
44.8124,52.125,28.55
43.7499,51.8403,28.55
42.9721,51.0625,28.55
42.6874,50,28.55
42.9721,48.9375,28.55
43.7499,48.1597,28.55
44.8124,47.875,28.55
45.875,48.1597,28.55
46.6528,48.9375,28.55
46.9375,50,29.65
46.6528,51.0625,29.65
45.875,51.8403,29.65
44.8124,52.125,29.65
43.7499,51.8403,29.65
42.9721,51.0625,29.65
42.6874,50,29.65
42.9721,48.9375,29.65
43.7499,48.1597,29.65
44.8124,47.875,29.65
45.875,48.1597,29.65
46.6528,48.9375,29.65
46.9375,50,30.75
46.6528,51.0625,30.75
45.875,51.8403,30.75
44.8124,52.125,30.75
43.7499,51.8403,30.75
42.9721,51.0625,30.75
42.6874,50,30.75
42.9721,48.9375,30.75
43.7499,48.1597,30.75
44.8124,47.875,30.75
45.875,48.1597,30.75
46.6528,48.9375,30.75
46.9375,50,31.85
46.6528,51.0625,31.85
45.875,51.8403,31.85
44.8124,52.125,31.85
43.7499,51.8403,31.85
42.9721,51.0625,31.85
42.6874,50,31.85
42.9721,48.9375,31.85
43.7499,48.1597,31.85
44.8124,47.875,31.85
45.875,48.1597,31.85
46.6528,48.9375,31.85
46.9375,50,32.95
46.6528,51.0625,32.95
45.875,51.8403,32.95
44.8124,52.125,32.95
43.7499,51.8403,32.95
42.9721,51.0625,32.95
42.6874,50,32.95
42.9721,48.9375,32.95
43.7499,48.1597,32.95
44.8124,47.875,32.95
45.875,48.1597,32.95
46.6528,48.9375,32.95
46.9375,50,34.05
46.6528,51.0625,34.05
45.875,51.8403,34.05
44.8124,52.125,34.05
43.7499,51.8403,34.05
42.9721,51.0625,34.05
42.6874,50,34.05
42.9721,48.9375,34.05
43.7499,48.1597,34.05
44.8124,47.875,34.05
45.875,48.1597,34.05
46.6528,48.9375,34.05
46.9375,50,35.15
46.6528,51.0625,35.15
45.875,51.8403,35.15
44.8124,52.125,35.15
43.7499,51.8403,35.15
42.9721,51.0625,35.15
42.6874,50,35.15
42.9721,48.9375,35.15
43.7499,48.1597,35.15
44.8124,47.875,35.15
45.875,48.1597,35.15
46.6528,48.9375,35.15
46.9375,50,36.25
46.6528,51.0625,36.25
45.875,51.8403,36.25
44.8124,52.125,36.25
43.7499,51.8403,36.25
42.9721,51.0625,36.25
42.6874,50,36.25
42.9721,48.9375,36.25
43.7499,48.1597,36.25
44.8124,47.875,36.25
45.875,48.1597,36.25
46.6528,48.9375,36.25
46.9375,50,37.35
46.6528,51.0625,37.35
45.875,51.8403,37.35
44.8124,52.125,37.35
43.7499,51.8403,37.35
